"Name","Source","Level","Casting Time","Duration","School","Range","Components","Classes","Text","At Higher Levels"
"操控天气","PHB","8环","10 分钟","专注，至多 8 小时","变化","自身 (5里 半径)","声音、姿势、材料 (点燃的熏香和少许混合在水中的泥土和木头)","牧师、德鲁伊、法师","你在法术持续期间掌控距离你5里内的天气。你必须在户外以施放此法术。移动到一处你无法直接看到天空的地方将会使此法术提早结束。当你施放此法术时，你改变原本由DM基于气候和季节决定的当下天气状况。你可以改变它的降雨量、温度、和风速。新的天气状况需要花费1d4 × 10分钟以发挥效果。一旦天气完成改变，你将可以再次改变天气状况。当此法术结束，天气将逐渐回复原状。当你改变天气状况时，从以下列表中寻找当下的状况，并向上或向下改变它的阶段一级。当改变风速时，你也可以改变其风向。降雨量阶段状况1晴天2薄云3多云、或低雾4降雨、冰雹、或降雪5豪雨、剧烈冰雹、或暴雪温度阶段状况1酷热2炎热3温暖4凉爽5寒冷6极寒风速阶段状况1微风2和风3强风4狂风5暴风",""
"潮涌浪","XGE","3环","动作","即效","咒法","120 尺","声音、姿势、材料 (一滴水)","德鲁伊、术士、法师","你召唤出一道水浪冲打射程内的一片区域。这个区域可以有最多30尺长、10尺宽、和10尺高。每个在该区域内的生物必须进行一次敏捷豁免。若豁免失败，则该生物将受到4d8钝击伤害并被击倒伏地。若豁免成功，该生物只受到一半的伤害，且不会被击倒伏地。这些水接着将会沿着地面向四面八方蔓延，熄灭位于它所在区域内或距离它5尺内未受保护的火焰，然后消失不见。",""
"尘卷风","XGE","2环","动作","专注，至多 1 分钟","咒法","60 尺","声音、姿势、材料 (一撮沙尘)","德鲁伊、术士、法师","选择射程内一处未被占据，且你所能看见的5尺边长立方体空间。一阵聚集成尘卷风的元素之力将出现在该空间，且持续到法术的持续时间结束。任何在距离尘卷风5尺内结束它回合的生物都必须进行一次力量豁免。若豁免失败，则该生物将受到1d8钝击伤害并被推离尘卷风10尺。若豁免成功，该生物只受到一半的伤害，且不会被推离。以一个附赠动作，你可以使尘卷风向任何方向移动最多30尺。若尘卷风移经沙子、灰尘、松土、或小碎石，则它将吸起这些物质并在它周遭形成一个10尺半径的瓦砾云，持续直到你的下个回合开始。这个瓦砾云笼罩的区域被重度遮蔽。","升环施法效应. At Higher Levels 当你使用3环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d8。"
"沉默术","PHB","2环","动作","专注，至多 10 分钟","幻术","120 尺","声音、姿势","吟游诗人、牧师、游侠","在法术持续期间，任何声音都无法在射程内你所选择一点为中心的20尺半径球体内被制造或传入其中。任何完全处于球体范围内的生物或物体将免疫于雷鸣伤害，且当完全处于其中，生物将视作耳聋。在里面不可能施放需要声音构材的法术。",""
"诚实之域","PHB","2环","动作","10 分钟","惑控","60 尺","声音、姿势","吟游诗人、牧师、圣武士","你在射程内以你所选择的一点为中心创造出一个15尺半径球体范围，能够抵御谎言的魔法领域。直到法术结束前，一个在此法术区域中开始它的回合、或在一个回合中第一次进入该区域的生物必须进行一次魅力豁免。若豁免失败，则当该生物仍在效果半径内，它就不能故意说谎。你会知道每个生物的豁免检定是成功还是失败。一个受影响的生物会意识到这个法术，并可以因此避免回答那些它们通常会以谎言答复的问题。这些生物可以在回答时含糊其辞，只要它的回答还在诚实的范围内就没问题。",""
"炽炎斩","PHB","1环","附赠动作","专注，至多 1 分钟","塑能","自身","声音","圣武士","在法术持续期间，下一次你以近战武器攻击命中一个生物时，你的武器闪耀着强烈白热光芒，该攻击对目标造成额外1d6火焰伤害，并使目标起火燃烧。直到法术结束前，在它的每个回合开始时，目标都必须进行一次体质豁免。若豁免失败，它将受到1d6火焰伤害。若豁免成功，则此法术结束。如果该目标或一个距离它5尺以内的生物使用一个动作去扑灭火焰、或有其他效果熄灭了火焰（像是目标被水给淹没），则此法术结束。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，攻击所造成的初始伤害便会再增加1d6。"
"炽焰法球","PHB","2环","动作","专注，至多 1 分钟","咒法","60 尺","声音、姿势、材料 (一点兽脂、一撮硫磺、和一尘铁粉)","德鲁伊、法师","一团5尺直径的火球出现在射程内你所选择一处未被占据的空间，并在法术持续期间内持续存在。任何在距离球体5尺内结束它回合的生物都必须进行一次敏捷豁免。豁免失败的生物将受到2d6火焰伤害，豁免成功则只受到一半的伤害。以一个附赠动作，你可以移动该球体最多30尺。如果你让球体撞上一个生物，则该生物必须进行对球体伤害的豁免检定，且球体在该回合将停止移动。当你移动该球体，你可以控制它翻过最多5尺高的障碍物、或让它跳过最多10尺宽的坑。这个球体会点燃未被穿戴或携带的可燃物体，且散发出20尺半径的明亮光照和再延伸20尺的微光光照。","升环施法效应. At Higher Levels 当你使用3环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d6。"
"炽焰赋权","XGE","6环","动作","专注，至多 10 分钟","变化","自身","声音、姿势","德鲁伊、术士、契术师、法师","烈焰在你的身体间穿梭，在此法术持续期间散发出30尺半径的明亮光照和再延伸30尺的微光光照。这道火焰不会伤害。直到此法术结束前，你获得以下好处：你免疫于火焰伤害，且对冷冻伤害具有抗性。任何在一个回合第一次移动到距离你5尺内或在该处结束它回合的生物将受到1d10火焰伤害。你可以使用你的动作以创造一束15尺长、5尺宽的火焰直线，从你向一个你所选择方向延伸。每个在这个直线内的生物必须进行一次敏捷豁免。豁免失败的生物将受到4d8火焰伤害，豁免成功则只受到一半的伤害。",""
"虫群孳生","XGE","戏法","动作","即效","咒法","30 尺","声音、姿势、材料 (一只活跳蚤)","德鲁伊、术士、契术师、法师","你使一大群虱螨、跳蚤、或其他寄生虫暂时出现在一个射程内你所能看见的生物身上。目标必须成功通过一次体质豁免，否则受到1d6毒素伤害，且如果它能移动且移动速度至少5尺，它将朝随机方向移动5尺。掷一颗d4决定方向：1北方；2南方；3东方；4西方。这个移动并不会引发借机攻击，且如果骰出来的方向被挡住，则目标将不会移动。此法术的伤害将在你的等级升至5级时增加至2d6，11级时3d6，17级时4d6。",""
"臭云术","PHB","3环","动作","专注，至多 1 分钟","咒法","90 尺","声音、姿势、材料 (一颗腐烂的蛋或几片臭菘的叶子)","吟游诗人、术士、法师","你以射程内一点为中心创造出一团20尺半径球形，令人作呕的黄色毒气。这团云会绕过转角散布，且它所在的区域被重度遮蔽。这团云会在法术持续期间于空中徘徊不散。每个完全处于这团云内的生物在它的回合开始时必须进行一次体质豁免以对抗毒素。若豁免失败，则该生物将花费它的动作干呕发晕。不需要呼吸或免疫毒素的生物将自动成功于这个豁免检定。一阵中速的风（风速至少每小时10里）可以在4轮之后吹散这团云。一阵强风（风速至少每小时20里）可以在1轮之后吹散这团云。",""
"触发术","PHB","6环","10 分钟","10 天","塑能","自身","声音、姿势、材料 (一个你自己的小雕像，由象牙雕制而成，并装饰以价值至少1,500金币的珠宝)","法师","选择一个你所能施放，环阶为5环或更低，施法时间为1个动作，且能以你自己为目标的法术。作为施放触发术的一部份，你施放该法术—以下称其为并发法术—，为这两个法术消耗各自的法术位，但并发法术并不会马上产生效果，而是在特定状况发生时发挥效果。你在施放这两个法术时描述一个状况。举例来说，一个和水下呼吸法术一同被施放的触发术可能会设置在你被水或类似液体吞没时让水下呼吸发挥效果。并发法术会紧接在第一次遭遇该状况时立刻发挥效果，无论你是否希望如此，且触发术结束。并发法术只会对你发挥效果，即使它原本可以指定其他目标也一样。你同时只能使用一个触发术。若你再次施放此法术，则另一个作用在你身上的触发术将被中止。触发术也会在你不再拥有它的材料构材时结束。",""
"穿墙术","PHB","5环","动作","1 小时","变化","30 尺","声音、姿势、材料 (一撮芝麻籽)","法师","一个通道出现在射程内你所能看见的一道木质、石膏制、或石制表面（像是墙、天花板、或地板）上你所选择的一点，且在法术持续期间持续存在。你决定这个开口的尺寸：最多5尺宽、8尺高、及20尺深。这个通道不会让周遭结构因此不稳定。当这个开口消失时，任何仍在此法术创造的通道里的生物或物体将会被安全地排到距离你施法表面最近的一处未被占据空间。",""
